subj,s1b1p1d1,s1b1p1d2,s1b1p0d1,s1b1p0d2,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b1p1d1,s2b1p1d2,s2b1p0d1,s2b1p0d2,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b1p1d1,s3b1p1d2,s3b1p0d1,s3b1p0d2,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.027883,0.0475,0.022075,0.060059,0.034732,0.03587,0.047847,0.091834,0.043529,0.10154,0.14146,0.092936,0.077483,0.1045,0.053512,0.12208,0.19116,0.19152,0.28109,0.26582,0.17161,0.22029,0.20672,0.24553
2,0.2474,0.12067,0.22838,0.13406,0.18887,0.17808,0.21464,0.26527,0.29262,0.24313,0.37715,0.26921,0.26902,0.3294,0.16022,0.27658,0.33316,0.28747,0.33508,0.25027,0.32366,0.34194,0.31328,0.34248
3,0.45201,0.11897,0.36571,0.17343,0.090417,0.18442,0.1392,0.13327,0.043311,0.026913,0.059672,0.031376,0.0062838,0.05476,0.054063,0.092066,0.15579,-0.0036233,0.026119,0.14432,0.076355,0.19382,0.16874,0.14034
4,0.083757,0.026002,0.15766,0.016631,0.050849,0.1309,0.08522,0.1452,0.068781,0.054952,0.065713,0.094095,0.055476,0.09043,0.092888,0.19579,0.18534,0.19811,0.20268,0.18758,0.18427,0.23834,0.096926,0.20462
5,0.074025,0.010615,0.051277,0.0092704,0.035224,0.043288,0.089109,0.069712,0.17361,0.10102,0.070297,0.099169,0.024723,0.11788,0.14405,0.1332,0.12082,0.071172,0.089793,0.051698,0.083495,0.2333,0.085924,0.15496
6,0.17775,0.11022,0.091132,0.090072,0.1248,0.15538,0.050936,0.10995,0.31356,0.20834,0.27315,0.23471,0.14423,0.269,0.3245,0.32194,0.43415,0.2873,0.35325,0.19222,0.23326,0.29729,0.26565,0.35316
7,0.11324,0.19116,0.10622,0.092006,0.069513,0.14431,0.05887,0.033911,0.16531,0.078464,0.26525,0.21539,0.061172,0.091942,0.078643,0.069244,0.25201,0.022671,0.30074,0.27349,0.045156,0.086489,0.1069,0.24411
8,0.02805,0.015797,0.09541,0.054558,0.022725,0.038531,0.0076412,0.035863,0.25963,0.080111,0.058113,0.066369,0.10429,0.11464,0.10219,0.18444,0.29246,0.31314,0.33739,0.14465,0.28633,0.38026,0.10308,0.28968
9,0.12043,0.00037663,0.21595,0.17026,0.027181,0.045927,-0.018124,0.044215,0.30401,0.26502,0.18509,0.12904,0.16884,0.26119,0.17682,0.34735,0.078115,0.080436,0.29345,0.18263,0.21436,0.15335,0.2631,0.30213
10,0.092618,6.8898e-05,0.052313,0.049844,0.0038557,0.06133,0.059617,0.01711,0.27327,0.085843,0.13191,0.073135,0.10102,0.26477,0.048417,0.041068,0.2043,0.21016,0.30765,0.3222,0.43778,0.40007,0.21148,0.45891
11,0.010276,0.04912,0.14568,0.084008,0.060172,0.063188,0.034768,0.12108,0.10934,0.096999,0.24621,0.084603,0.037919,0.1065,0.1205,0.13741,0.15637,0.26639,0.27751,0.29952,0.13956,0.2802,0.26575,0.2314
12,0.22185,0.24209,0.3505,0.22224,0.1292,0.15455,0.13711,0.25468,0.17042,0.093825,0.15774,0.25294,0.083861,0.097796,0.16132,0.1451,0.20282,0.21309,0.14797,0.19551,0.19882,0.27884,0.18023,0.30081
13,0.12094,0.090478,0.10835,0.14606,0.11086,0.25987,0.07081,0.215,0.051682,0.035723,0.077238,0.03691,0.029068,0.06324,0.034258,0.037186,0.23194,0.016749,0.017766,0.044358,0.029207,0.051552,0.017198,0.060731
14,0.16391,0.10379,0.20109,0.097556,0.10235,0.11851,0.11987,0.14165,0.034121,0.13704,0.20852,0.12911,0.11496,0.17572,0.099395,0.10552,0.14586,0.18919,0.023387,0.026969,0.080266,0.13074,0.12831,0.11459
15,0.26765,0.243,0.29266,0.12518,0.15815,0.30887,0.18253,0.28484,0.11089,0.079121,0.093234,0.099394,0.091895,0.094961,0.080997,0.11134,0.09848,0.06757,0.016185,0.10418,0.061323,0.091784,0.047864,0.083023
16,0.23355,0.078465,0.19087,0.077929,0.12948,0.13925,0.11569,0.12616,0.20107,0.19323,0.13732,0.17661,0.16712,0.16627,0.17216,0.22205,0.24499,0.33931,0.31555,0.34015,0.40594,0.50042,0.28231,0.32198
17,0.03264,0.077924,0.072035,0.084029,0.019918,0.031975,0.042211,0.072148,0.039257,0.066149,0.050297,0.0055979,0.061365,0.052975,0.052267,0.042069,0.040243,0.005842,0.033743,0.032332,0.059354,0.075932,0.025271,0.029277
18,0.12288,0.13758,0.071154,0.057855,0.052846,0.085366,0.038372,0.020897,0.11529,0.097297,0.20718,0.13043,0.066182,0.1356,0.087864,0.1241,0.086911,0.012465,0.068963,0.016487,0.155,0.23477,0.073958,0.02535
19,0.02223,0.05481,0.062452,0.0043294,0.004522,0.071278,0.049953,0.095825,0.046402,0.0090628,0.043013,0.056005,0.043601,0.026377,0.016244,-0.00071944,0.011941,0.017112,0.030435,0.034155,0.021811,0.069106,0.029461,0.059605
20,0.45845,0.31621,0.41034,0.29707,0.24598,0.42774,0.32242,0.33206,0.38469,0.25072,0.37427,0.36855,0.30138,0.43914,0.23207,0.377,0.33962,0.1965,0.40809,0.38663,0.26395,0.39261,0.29917,0.34992
21,0.16172,0.15242,0.19147,0.15556,0.023473,0.084235,0.072342,0.015911,0.17576,0.22687,0.27176,0.14697,0.17223,0.21179,0.058291,0.069045,0.20944,0.071421,0.24101,0.063745,0.084824,0.081149,0.087377,0.10534
22,0.21971,0.23001,0.10752,0.15991,0.13532,0.19498,0.13611,0.15297,0.16219,0.12028,0.20362,0.11552,0.060724,0.12158,0.080892,0.1129,0.18601,0.17013,0.14716,0.14877,0.10656,0.14112,0.14223,0.21148
23,0.09613,0.059498,0.15741,0.094215,0.022852,0.063916,0.058441,0.076341,0.15374,0.074944,0.082865,0.079666,0.045273,0.0689,0.064615,0.07352,0.10914,0.099463,0.24629,0.12554,0.1794,0.12271,0.11184,0.1163
24,0.1729,0.045888,0.16245,0.058385,0.15422,0.097592,0.21599,0.19362,0.28186,0.18265,0.26013,0.23472,0.19726,0.31285,0.17381,0.22275,0.2844,0.33189,0.28646,0.27065,0.28041,0.28542,0.25464,0.27659
25,0.21372,0.22231,0.20885,0.21298,0.21281,0.23017,0.20669,0.23824,0.18495,0.16985,0.13004,0.18346,0.18366,0.21296,0.22368,0.20347,0.26586,0.24166,0.23358,0.20365,0.20492,0.31029,0.22126,0.33066
26,0.084863,0.089121,0.04707,0.090537,0.12062,0.11225,0.051481,0.14849,0.24398,0.11547,0.21463,0.1336,0.081432,0.23786,0.1529,0.12172,0.051485,0.07053,0.16393,0.09696,0.14677,0.19086,0.074883,0.12147
